film_name,original_name,film_director,kinopoisk_rate,imdb_rate,difference
Апокалипсис,Apocalypto,Мэл Гибсон,7.962,7.8,0.16199999999999992
Ураган,The Hurricane,Норман Джуисон,7.959,7.6,0.359
Рататуй,Ratatouille,Брэд Бёрд,7.958,8.0,-0.041999999999999815
Новый кинотеатр «Парадизо»,Nuovo Cinema Paradiso,Джузеппе Торнаторе,7.958,8.5,-0.5419999999999998
Гаттака,Gattaca,Эндрю Никкол,7.948,7.8,0.14800000000000058
Крупная рыба,Big Fish,Тим Бёртон,7.947,8.0,-0.052999999999999936
Исчезнувшая,Gone Girl,Дэвид Финчер,7.942,8.1,-0.15799999999999947
Артист,The Artist,Мишель Хазанавичус,7.942,7.9,0.041999999999999815
Аватар,Avatar,Джеймс Кэмерон,7.938,7.8,0.1379999999999999
Тэмпл Грандин,Temple Grandin,Мик Джексон,7.937,8.3,-0.36300000000000043
Рапунцель: Запутанная история,Tangled,Нэйтан Грено,7.936,7.7,0.23599999999999977
Подмена,Changeling,Клинт Иствуд,7.934,7.7,0.23399999999999999
Догвилль,Dogville,Ларс фон Триер,7.934,8.0,-0.06599999999999984
Билли Эллиот,Billy Elliot,Стивен Долдри,7.915,7.7,0.21499999999999986
Столкновение,Crash,Пол Хаггис,7.879,7.8,0.07899999999999974
Жизнь Пи,Life of Pi,Энг Ли,7.82,7.9,-0.08000000000000007
История игрушек: Большой побег,Toy Story 3,Ли Анкрич,7.807,8.3,-0.4930000000000003
